bs,clip_size,device,dropout,embed_size,epochs,ffn_dim,head_size,lr,n_layers,newpath,pred_hid,sch_decay,to_predict,epoch,model,q_median,q_90,q_mean
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,54,6195933034023009986.pt,1.0440908703941825,1.0449633843449495,1.0440908703941825
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,55,6195933034023009986.pt,1.0438282270972818,1.0451245740998762,1.0438282270972818
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,56,6195933034023009986.pt,1.0435274327457622,1.0453790458430068,1.0435274327457622
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,57,6195933034023009986.pt,1.0432765290232695,1.0465170034931064,1.0432765290232695
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,58,6195933034023009986.pt,1.0430020249159322,1.0485309641846154,1.0430020249159322
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,59,6195933034023009986.pt,1.0427150902334348,1.0501333553523118,1.0427150902334348
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,60,6195933034023009986.pt,1.042488723174821,1.0448705479671194,1.042488723174821
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,61,6195933034023009986.pt,1.0422980841865024,1.043720198807515,1.0422980841865024
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,62,6195933034023009986.pt,1.042200333487953,1.0502332223677566,1.042200333487953
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,63,6195933034023009986.pt,1.0421356472051546,1.0567051750953278,1.0421356472051546
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,65,6195933034023009986.pt,1.0419657116841416,1.0651321865262815,1.0419657116841416
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,66,6195933034023009986.pt,1.041646949775485,1.0635925277724798,1.041646949775485
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,67,6195933034023009986.pt,1.0413531442824353,1.062471564220257,1.0413531442824353
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,68,6195933034023009986.pt,1.0411291404386018,1.063249116814527,1.0411291404386018
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,69,6195933034023009986.pt,1.040751285856971,1.059406532348396,1.040751285856971
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,70,6195933034023009986.pt,1.0403984567328175,1.055193682130255,1.0403984567328175
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,71,6195933034023009986.pt,1.0399620070856308,1.0464924243053098,1.0399620070856308
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,72,6195933034023009986.pt,1.0396548891634834,1.0416524248236636,1.0396548891634834
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,73,6195933034023009986.pt,1.0393726326906116,1.0414616008179074,1.0393726326906116
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,74,6195933034023009986.pt,1.0390902923524936,1.0408861431872956,1.0390902923524936
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,75,6195933034023009986.pt,1.0388700972719815,1.044404173110402,1.0388700972719815
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,76,6195933034023009986.pt,1.03865747452254,1.0466147041330236,1.03865747452254
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,77,6195933034023009986.pt,1.0384727097366306,1.0493592376870722,1.0384727097366306
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,78,6195933034023009986.pt,1.0381689351818355,1.0473646219973043,1.0381689351818355
